names,lats,lons,caps,prices,floors,exp_dates
Supalai Vista ห้าแยกปากเกร็ด คอนโด High Rise 30 ชั้น อยู่ติดถนนแจ้งวัฒนะใกล้ 5 แยกปากเกร็ด [รีวิวฉบับที่ 662],13.907583,100.506,17,1.63,,คาดว่าจะแล้วเสร็จ : กลางปี 2560
The Matt สุขุมวิท 101/1 คอนโด Low Rise ห่าง BTS ปุณณวิถีและอุดมสุข ประมาณ 2.5 กม. จาก อัคร บ้านและที่ดิน จำกัด [รีวิวฉบับที่ 1837],13.685009,100.62691,279,1.55,8,คาดว่าจะแล้วเสร็จ : พ.ย. 2563
Equinox คอนโด High Rise 42 ชั้นใกล้ 5 แยกลาดพร้าว by Major – รีวิวตึกเสร็จ  [รีวิวฉบับที่ 568],13.809454,100.55895,,4.5,42,
PORCH Condominium คอนโด Low Rise ในซอยแจ้งวัฒนะ 12 ใกล้ Big C แจ้งวัฒนะ จาก วันฮันเดรดแอนด์ไรซ์ซิ่ง[รีวิวฉบับที่ 1840],13.893984,100.563822,101,1.92,7,คาดว่าจะแล้วเสร็จ : กลางปี 2564
พาชมทำเล Niche MONO Mega Space Bangna คอนโด High Rise บนถนนบางนา-ตราด จาก เสนา ฮันคิว [รีวิวฉบับที่ 1681],13.660788,100.660757,795,2.2,40,
พาชมทำเล Siamese Sukhumvit คอนโด High Rise ติดถนนสุขุมวิท ใกล้ BTS อ่อนนุช จาก Siamese Asset  [รีวิวฉบับที่ 1086],13.864388,100.616945,,,,
The Key วุฒากาศ คอนโด High Rise 80 เมตรจาก BTS วุฒากาศ โดย Land & House [รีวิวฉบับที่ 404],13.714345,100.468364,441,2.5,22,
URBITIA ทองหล่อ คอนโด Low Rise 8 ชั้น ในซอย สุขุมวิท 36 ระยะ 230 เมตรจาก BTS ทองหล่อ จาก EMC [รีวิวฉบับที่ 1049],13.722562,100.576862,130,4.39,8,คาดว่าจะแล้วเสร็จ : ตุลาคม 2560
Moniiq สุขุมวิท 64 Condo Low Rise 8 ชั้น สไตล์ญี่ปุ่น จากซันเคียว โฮม [รีวิวฉบับที่ 1009],13.689093,100.602581,366,1.99,8,คาดว่าจะแล้วเสร็จ : สิงหาคม 2560
Notting Hill พหลฯ-เกษตร คอนโด Low Rise พร้อม Service แบบโรงแรมจาก Origin Property [รีวิวฉบับที่ 764],13.859999,100.587101,194,1.79,8,คาดว่าจะแล้วเสร็จ : ไตรมาส 3 ปี 2559
D 25 คอนโดสไตล์ญี่ปุ่นในซอยทองหล่อ โดย D Well Grand Asset  [รีวิวฉบับที่ 460],13.739093,100.582792,98,4.29,8,
Hallmark ลาดพร้าว-โชคชัย 4 คอนโด Low Rise บนถนนสังคมสงเคราะห์ ห่าง MRT โชคชัย 4 ประมาณ 1 กม. จาก ชีวาทัย [PREVIEW],13.796149,100.599384,434,1.69,8,
The Light New York คอนโดมิเนียม Low Rise ในซอยสุขุมวิท 64 ใกล้ BTS ปุณณวิถี จาก VT Asset [รีวิวฉบับที่ 651],13.690037,100.604458,168,1.4,8,คาดว่าจะแล้วเสร็จ : กันยายน 2558
HALLMARK ลาดพร้าว – โชคชัย 4 คอนโด Low Rise 2 อาคาร บนถนนสังคมสงเคราะห์ จาก ชีวาทัย [รีวิวฉบับที่ 1856],13.796149,100.599384,434,1.69,8,คาดว่าจะแล้วเสร็จ : q4/2020
พาชมทำเล Whizdom Connect สุขุมวิท คอนโดพร้อม Community Mall ใกล้ BTS ปุณณวิถี [รีวิวฉบับที่ 794],13.685149,100.610558,673,3.08,41,คาดว่าจะแล้วเสร็จ : 12/2560
Ideo Mobi วงศ์สว่าง อินเตอร์เชนจ์ คอนโด High Rise ใกล้ MRT บางซ่อน จาก อนันดา [PREVIEW],13.818908,100.531911,559,2.29,30,
YOU3 CONDO @ แยกเกษตร คอนโด Low Rise 8 ชั้น ซอยประเสริฐมนูกิจ 2 จาก ยูทีลิตี้ แลนด์ [รีวิวฉบับที่ 1043],13.839501,100.582186,434,1.32,8,คาดว่าจะแล้วเสร็จ : ต้นปี 2561
Kensington พหลโยธิน 63 คอนโด Low Rise ใกล้รถไฟฟ้าสถานีอนุเสาวรีย์หลักสี่ จาก Origin [รีวิวฉบับที่ 1675],13.884586,100.600757,231,,8,
ลุมพินี เพลส รัชดา-สาธุ คอนโด High Rise 35 ชั้น บนถนนสาธุประดิษฐ์ ตัวใหม่จาก LPN [PREVIEW],13.696617,100.532494,543,2.69,35,คาดว่าจะแล้วเสร็จ : กันยายน 2562
พาชมห้องตัวอย่าง เเละ Update พื้นที่ส่วนกลาง Wish Signature Midtown Siam คอนโด High Rise ใกล้ BTS ราชเทวี จาก สยามนุวัตร,13.752026,100.534687,623,,45,
ลุมพินี เพลส พระราม 3 – ริเวอร์ไรน์ คอนโด High Rise วิวแม่น้ำเจ้าพระยา ใกล้สะพานภูมิพล 1 จาก LPN [PREVIEW],13.675724,100.539825,719,1.78,35,คาดว่าจะแล้วเสร็จ : ก.ย. 62
333 Riverside คอนโดริมน้ำติด MRT บางโพ จาก Land & Houses,13.807242,100.519592,480,5,,
IDEO Q ราชเทวี คอนโดติดถนนใหญ่เพชรบุรีใกล้ BTS ราชเทวี จาก อนันดาฯ,13.752871,100.533957,323,4.9,,
รีวิวตึกเสร็จ Dcon Prime รัตนาธิเบศร์ คอนโด High Rise วิวแม่น้ำเจ้าพระยา บนถนนรัตนาธิเบศร์ ใกล้รถไฟฟ้า ไทรม้า จาก Orrada [รีวิวฉบับที่ 1843],13.87082,100.467005,638,1.59,38,
Park Court สุขุมวิท 77 คอนโด Low Rise ยูนิตน้อย บนที่ดินกว่า 7 ไร่ ใน T77 Community จากมั่นคงเคหะการ [รีวิวฉบับที่ 1806],13.714592,100.603341,70,45,7,
MODIZ สุขุมวิท 50 คอนโด High Rise ในซอยสุขุมวิท 50 ใกล้ BTS อ่อนนุช จาก AssetWise [รีวิวฉบับที่ 1674],13.703951,100.590261,646,1.99,25,คาดว่าจะแล้วเสร็จ : ธันวาคม 2563
KALM Penthouse คอนโดแนวใหม่เป็น Penthouse ทั้งโครงการให้พื้นที่เสมือนอยู่บ้าน ในซอยศูนย์วิจัย 2 ใกล้ รพ.กรุงเทพ[PREVIEW],13.75027,100.587356,16,10.89,7,คาดว่าจะแล้วเสร็จ : 3/2562
The Paint Palette งามวงศ์วาน 18 คอนโดล้านต้นในซอยทางเข้า The Mall จาก สินทรัพย์ ดิงโก้ [รีวิวฉบับที่ 393],13.855586,100.538458,196,1.39,8,
Conner ราชเทวี คอนโด High Rise ติดถนนเพชรบุรี ห่าง BTS ราชเทวี 300 เมตร จาก The Creators HQ [รีวิวฉบับที่ 1666],13.754065,100.529262,,8,,
Atmoz Ladprao 15 คอนโด Low Rise ในซอยลาดพร้าว15 จาก AssetWise  [รีวิวฉบับที่ 1585],13.806611,100.573111,570,1.69,8,คาดว่าจะแล้วเสร็จ : ปี 2563
Feel Condo ปิ่นเกล้า-จรัญฯ 59 คอนโด Low Rise 5 ชั้น 2 อาคาร ในซอยจรัญสนิทวงศ์ 59 ห่างจากรถไฟฟ้าสถานีสิรินธร 800 ม. จาก ไลฟ์ อิมเมจ คอนโดมิเนียม [รีวิวฉบับที่ 1060],13.782159,100.487346,79,1.53,5,คาดว่าจะแล้วเสร็จ : พฤษภาคม 2560
Whizdom Station รัชดา – ท่าพระ คอนโด High Rise 37 ชั้น ใกล้ The mall ท่าพระ และ BTS ตลาดพลู จาก MQDC [รีวิวฉบับที่ 1038],13.713632,100.478317,690,2.4,37,คาดว่าจะแล้วเสร็จ : 2018
พาชมตึกเสร็จ Aspire สาทร-ท่าพระ คอนโด High Rise ติดสถานี BTS ตลาดพลู จาก AP [รีวิวฉบับที่ 1382],13.715642,100.479971,1,,30,
The Tree ดินแดง – ราชปรารภ คอนโด Low Rise ใกล้ทางด่วนและอนุสาวรีย์ชัยฯ จาก พฤกษา เรียลเอสเตท [PREVIEW],13.762161,100.547749,226,,8,คาดว่าจะแล้วเสร็จ : ธ.ค. 2562
ลุมพินี พาร์ค เพชรเกษม 98 คอนโด High Rise 20-21 ชั้น 4 อาคาร ติดถนนเพชรเกษม ใกล้ Big C มีศูนย์การค้าด้านหน้าโครงการ [รีวิวฉบับที่ 644],13.708816,100.382852,2,1.1,,คาดว่าจะแล้วเสร็จ : ต้นปี 2559
พาชมตึก 185 Rajadamri Condominium คอนโด High Rise ระดับ Super Luxury จาก Raimon Land [รีวิวฉบับที่ 1050],13.735445,100.539281,265,39.43,35,
Knightsbridge สุขุมวิท-เทพารักษ์ คอนโด High Rise 35 ชั้น ติดรถไฟฟ้าสายสีเหลือง MRT สถานีทิพวัล จาก Origin  [รีวิวฉบับที่ 1808],13.637633,100.608746,474,2.09,35,คาดว่าจะแล้วเสร็จ : q4 ปี 2564
The Diplomat 39 คอนโด High Rise ใกล้ BTS พร้อมพงษ์ จาก KPN [รีวิวฉบับที่ 783],13.731453,100.570612,4,15,31,
Altitude Symphony เจริญกรุง-สาทร คอนโด High Rise บนถนนจันทน์ ใกล้ทางด่วนและรร.นานาชาติ Shrewsbury จาก Altitude Development [รีวิวฉบับที่ 1784],13.710016,100.513891,99,4.5,21,คาดว่าจะแล้วเสร็จ : ธันวาคม 2563
M Silom คอนโด High rise 53 ชั้น พร้อมอยู่ บนถนนนราธิวาส ใกล้ BTS ช่องนนทรี จาก Major Development [รีวิวฉบับที่ 859],13.727345,100.527231,161,9.8,53,
The Tree RIO Bang-aor Station คอนโด High Rise บนถนนจรัญสนิทวงศ์ ติดสถานีบางอ้อ รถไฟฟ้าสายสีน้ำเงินส่วนต่อขยาย จากพฤกษา [รีวิวฉบับที่ 758],13.799704,100.508578,1,1.69,41,
Condolette DWELL สุขุมวิท 26 คอนโด Low Rise ใกล้สถานี BTS พร้อมพงษ์ จากพฤกษา [รีวิวฉบับที่ 784],13.725723,100.570661,224,3.99,8,คาดว่าจะแล้วเสร็จ : ปลายปี 2014
ลุมพินี วิลล์ อ่อนนุช – พัฒนาการ คอนโด Low Rise 8 ชั้น 7 อาคาร ติดถนนอ่อนนุชใกล้ Seacon Square ศรีนครินทร์ จาก LPN [รีวิวฉบับที่ 512],13.717275,100.654664,1,1.18,8,
Green Ville II คอนโด Low Rise ในซอยสุขุมวิท 101 ห่าง BTS ปุณณวิถี 1.4 กม. จาก Green Ville Property [รีวิวฉบับที่ 1798],13.690064,100.61832,200,1.99,8,
พาชมตึกเสร็จ Maestro 01 สาทร-เย็นอากาศ คอนโดสไตล์ยุโรปคลาสสิค ติดถนนเย็นอากาศ จาก Major Development [รีวิวฉบับที่ 1624],13.717767,100.547872,88,5.3,8,
The Tree จรัญฯ 30 คอนโด High Rise บนถนนจรัญสนิทวงศ์ ระหว่างสถานีแยกไฟฉายกับสถานีบางขุนศรี จาก พฤกษา [PREVIEW],13.758784,100.469691,307,3.1,,คาดว่าจะแล้วเสร็จ : 2019
Kensington พหลโยธิน 63 คอนโด Low Rise ใกล้รถไฟฟ้าสถานีอนุเสาวรีย์หลักสี่(สายสีเขียว) จาก Origin [รีวิวฉบับที่ 1153],13.884586,100.600757,231,1.59,8,คาดว่าจะแล้วเสร็จ : q2 ปี 2561
The Line พหลโยธิน พาร์ค คอนโด High Rise บนถนนพหลโยธิน ใกล้ห้าแยกลาดพร้าว จาก แสนสิริ [รีวิวฉบับที่ 1717],13.818082,100.56483,880,3.59,,คาดว่าจะแล้วเสร็จ : august 2022
Noble BE19 คอนโด Super Luxury ในซอยสุขุมวิท 19 ใกล้ BTS อโศก จาก Noble Development [รีวิวฉบับที่ 1024],13.74228,100.559167,586,,,คาดว่าจะแล้วเสร็จ : ประมาณสิงหาคม 2563
KRAAM SUKHUMVIT 26 คอนโดระดับ Ultimate Class ติดถนนสุขุมวิท 26 จาก Nye Estate [รีวิวฉบับที่ 1279],13.726364,100.569666,126,17,29,คาดว่าจะแล้วเสร็จ : ก.ย. 2562
Beat Bangwa Interchange คอนโด Low Rise บนถนนเทอดไท ใกล้ BTS บางหว้า 630 เมตร จาก Northland Development [รีวิวฉบับที่ 1716],13.716521,100.455966,402,1.59,8,คาดว่าจะแล้วเสร็จ : ปี 2563
ASHER PRIVÉ สุทธิสาร คอนโด Low Rise ในซอยอำนวยวัฒน์ ใกล้ MRT สุทธิสาร จาก เอ พลัส เรียลเอสเตท [รีวิวฉบับที่ 1721],13.792149,100.581128,79,1.69,8,คาดว่าจะแล้วเสร็จ : พฤศจิกายน 2563
Park Origin พญาไท คอนโด High Rise บนถนนพญาไท ใกล้ BTS และ APL พญาไท จาก Origin [รีวิวฉบับที่ 1657],13.75947,100.535464,550,5.8,35,
Ease 2 พระราม 2 คอนโด High Rise 2 อาคาร ใกล้ Central พระราม 2 จาก Land & Houses [รีวิวฉบับที่ 1763 ],13.670126,100.436983,329,1.75,,
D’ Mura รัชโยธิน คอนโด Low Rise 8 ชั้นใกล้แยกรัชโยธิน-เกษตร จาก D Well Grand Asset [รีวิวฉบับที่ 844],13.837479,100.583116,216,1.59,8,คาดว่าจะแล้วเสร็จ : ปลายปี 2559
Ideo Mobi Sukhumvit Eastgate คอนโด High Rise ใกล้ BTS บางนา จากอนันดา [PREVIEW],13.665503,100.604028,844,2.29,30,
The Niche id บางแค คอนโด Low Rise 8 ชั้น 2 อาคาร ใกล้ตลาดบางแคในซอยเทอดไท จาก SENA [รีวิวฉบับที่ 661],13.703729,100.422215,434,1.5,8,คาดว่าจะแล้วเสร็จ : ปลายปี 59
The Key MRT เพชรเกษม 48 คอนโด High Rise ติดถนนใหญ่และสถานีเพชรเกษม48 ใกล้ซีคอนบางแค จาก Land and Houses  [รีวิวฉบับที่ 1779],13.715942,100.446157,639,2.89,30,คาดว่าจะแล้วเสร็จ : ธ.ค. 2563
พาชมทำเลโครงการ Fuse สุทธิสาร – รัชดา คอนโด High Rise หัวมุมซอยอินทามระ 22 จาก พฤกษา [PREVIEW],13.789386,100.563942,,,,
The Excel Hideaway สุขุมวิท 71 คอนโด Low Rise ใกล้ทางด่วน ย่านพระโขนง-อ่อนนุช จาก All Inspire [รีวิวฉบับที่ 1481],13.716547,100.600686,33,1.79,,คาดว่าจะแล้วเสร็จ : ม.ค. ปี 2562
The Excel Parc คอนโด Low Rise ในซอยลาซาล 19 จาก All Inspire Development [รีวิวฉบับที่ 1046],13.661668,100.611347,104,1.69,8,
The Trust Condo อมตะ-ชลบุรี  คอนโด Low-Rise 8 ชั้น 3 อาคาร ย่านอมตะนคร โดย Quality House [PREVIEW],13.414372,100.998487,518,1.29,8,
Chapter One Flow บางโพ คอนโด High Rise วิวแม่น้ำเจ้าพระยาบนถนนประชาราษฎร์ สาย 1 จาก พฤกษา [PREVIEW],13.812693,100.521248,386,2.59,41,
Aspire รัชดา-วงศ์สว่าง คอนโด High Rise ใกล้ MRT วงศ์สว่าง by AP [รีวิวฉบับที่622],13.8309154510498,100.525390625,1,1.79,27,
Bright Sukhumvit 24 คอนโดหรูตึกคู่ใจกลางสุขุมวิท ใกล้ BTS พร้อมพงษ์ โดย Albright [รีวิวฉบับที่ 532],13.723861,100.566782,292,8.5,36,
Ideo Q Sukhumvit 36 คอนโด High Rise ระดับ Super Luxury ในซอยสุขุมวิท 36 ใกล้ BTS ทองหล่อ จาก Ananda [รีวิวฉบับที่ 1516],13.72076,100.576361,364,8.6,,คาดว่าจะแล้วเสร็จ : เมษายน 2020
Chapter Chula-Samyan คอนโด High Rise บนถนนสี่พระยาใกล้ MRT สามย่าน จาก PRUKSA [Preview],13.731426,100.523263,181,,,
WYNN CONDO คอนโด Low Rise 8 ชั้น ในซอยพหลโยธิน 52 จาก AssetWise ตอนที่ 1 [รีวิวฉบับที่ 1037],13.894988,100.611796,275,1.3,8,คาดว่าจะแล้วเสร็จ : q3/2561
The Trust รัชดา-พระราม3 คอนโดสูงสร้างเสร็จพร้อมอยู่ บนถนน นนทรี ใกล้เซ็นทรัลพระราม 3 จาก Q-House [รีวิวฉบับที่ 399],13.694504,100.535824,1,1.8,,
U Delight @บางซ่อน สเตชั่น คอนโด High Rise 26 ชั้นใกล้สถานีรถไฟฟ้าบางซ่อน จาก Grand U [รีวิวฉบับที่ 626],13.81763,100.532541,529,2.59,26,คาดว่าจะแล้วเสร็จ : ธันวาคม 2558
Chapter One the Campus ลาดพร้าว 1 คอนโดใกล้ MRT พหลโยธิน โดยพฤกษา [รีวิวฉบับที่ 543],13.814228,100.565216,180,,8,
I’m fine คอนโดมิเนียมอารมณ์บ้าน ในซอยบางนา-ตราด 40 ตรงข้ามเซนทรัลบางนา [รีวิวฉบับที่ 417],13.66371,100.636273,620,1.39,8,
Groove รัชดา-พระราม 9 คอนโด Low Rise ในซอยรัชดาภิเษก 3 ใกล้ MRT พระราม 9 จาก Divine Development [รีวิวฉบับที่ 1728],13.763322,100.563228,154,2.39,8,คาดว่าจะแล้วเสร็จ : q4/2563
IDEO New Rama 9 คอนโด High Rise 24 ชั้น ติดถนนรามคำแหง จาก อนันดา [รีวิวฉบับที่ 1373],13.748659,100.606495,994,1.99,24,คาดว่าจะแล้วเสร็จ : มิถุนายน ปี 2562
The Privacy ติวานนท์ คอนโด Low Rise 7 ชั้น ในซอยติวานนท์50 จาก พฤกษา [รีวิวฉบับที่ 537],13.883246,100.513701,78,1.59,7,คาดว่าจะแล้วเสร็จ : ปลายปี 2557
Zelle รัตนาธิเบศร์ คอนโด Low Rise สร้างเสร็จพร้อมอยู่ ใกล้รถไฟฟ้าสายสีม่วง จาก ปริญสิริ [รีวิวฉบับที่ 710],13.870664,100.485911,570,1.59,8,
The Politan Rive สนามบินน้ำ Condo High Rise ริมแม่น้ำเจ้าพระยา ห่างรถไฟฟ้าประมาณ 350 ม. จาก Everland  [PREVIEW],13.873716,100.479734,51,1.29,,คาดว่าจะแล้วเสร็จ : ไตรมาสที่ 1 ปี 2562
พาชมตึกเสร็จ The Signature by Urbano คอนโด High Rise ติด BTS สะพานควาย จาก พฤกษา [รีวิวฉบับที่ 1228],13.79287,100.549185,253,4.9,31,
Aspire วุฒากาศ คอนโด Low Rise 8 ชั้น ห่างจาก BTS วุฒากาศ 210 เมตรโดย AP [รีวิวฉบับที่ 890],13.713981,100.471836,166,1.85,8,คาดว่าจะแล้วเสร็จ : ก.ย. 2559
THE NEST เพลินจิต คอนโด Low-Rise ใจกลางเมืองใกล้สถานีรถไฟฟ้า BTSเพลินจิต จาก The Nest Property [รีวิวฉบับที่ 466],13.746271,100.549423,64,4.9,8,
PE-LA วุฒากาศ คอนโดใกล้บีทีเอสวุฒากาศ โดย  ชนันธร [รีวิวฉบับที่ 459],13.713337,100.471559,190,2.3,,
Modiz Interchange คอนโดใกล้จุดตัดรถไฟฟ้าเชื่อมสายสีเขียว-ชมพู วงเวียนหลักสี่ รามอินทราจาก AssetWise [รีวิวฉบับที่ 1197],13.873945,100.597822,217,1.79,8,คาดว่าจะแล้วเสร็จ : ก.ค. 2561
The Tree บางโพ สเตชั่น คอนโดฯสร้างเสร็จพร้อมอยู่ ใกล้ MRT บางโพ จากพฤกษา [รีวิวฉบับที่ 500],13.808222,100.522088,709,,32,
Q Sukhumvit คอนโด High Rise ติด BTS นานา จาก Q.House,13.740391,100.555431,,,,
Chewathai Residence Thonglor คอนโด Low Rise บนทำเลทองหล่อ-เอกมัย ในซอยทองหล่อ 20 จาก ชีวาทัย [PREVIEW],13.738984,100.587069,130,5.59,8,คาดว่าจะแล้วเสร็จ : 2562
Supalai Veranda รัชวิภา-ประชาชื่น ใกล้รถไฟฟ้า 2 สาย โดย ศุภาลัย [รีวิวฉบับที่ 482],13.818338,100.535975,1,1.85,29,
Condolette Pixel สาทร คอนโด Low Rise ย่านสาทร-พระราม 4 จาก พฤกษา พาชมตึกเสร็จพร้อมอยู่  [รีวิวฉบับที่ 895],13.718887,100.549468,345,2.4,8,
ลุมพินี วิลล์ อ่อนนุช 46 คอนโด Low Rise 7 อาคาร ห่างปากซอย 400 เมตร โดย LPN [รีวิวฉบับที่ 519],13.707505,100.634607,1,0.888,8,
พาดูทำเล The Room พระราม 4 แยกสะพานเหลือง ใกล้สามย่าน-จุฬา โดย Land and House,13.736269,100.520996,289,5.9,,
Siamese Exclusive Ratchada คอนโด High Rise พร้อม Service Residence และ Siamese Technology จาก Siamese Asset [รีวิวฉบับที่ 1794],13.800667,100.57512,560,3.3,,คาดว่าจะแล้วเสร็จ  : กุมภาพันธ์ 2565
The Niche id พระราม 2 คอนโด Low Rise 8 ชั้น ห่างจากถนนพระราม 2 300 เมตร ใกล้จุดขึ้นลงทางด่วน โดย SENA [รีวิวฉบับที่ 585],13.676585,100.468651,616,1.318,8,"คาดว่าจะแล้วเสร็จ : อาคาร a ธ.ค. 2557, อาคาร b ม.ค. 2558"
Vio แคราย คอนโด Low Rise 8 ชั้นติดสถานีรถไฟฟ้าศูนย์ราชการนนทบุรี จาก อดามัส เรียล เอสเตท [รีวิวฉบับที่ 522],13.860966,100.511878,125,2.2,8,คาดว่าจะแล้วเสร็จ : 2558
ศุภาลัย ปาร์ค สถานีตลาดพลู คอนโด High Rise 34 ชั้น ห่างสถานี BTS ตลาดพลู 300 เมตร จาก ศุภาลัย [รีวิวฉบับที่ 1433],13.712442,100.473855,785,1.66,34,คาดว่าจะแล้วเสร็จ : ปี 2563
